순위,영화제목,관람가,평점,예매율,개봉일
1,스즈메의 문단속,12세이상관람가,7.6,29.4,23.03.08
2,더 퍼스트 슬램덩크,12세이상관람가,8.4,23.9,23.01.04
3,던전 앤 드래곤: 도적들의 명예,12세이상관람가,7.6,11.4,23.03.29
4,웅남이,15세이상관람가,6.4,3.3,23.03.22
5,에어,15세이상관람가,10.0,3.2,23.04.05
6,리바운드,12세이상관람가,7.9,3.0,23.04.05
7,아임 히어로 더 파이널,전체관람가,9.7,2.9,23.03.01
8,해피 투게더,15세이상관람가,8.2,2.6,23.03.30
9,소울메이트,12세이상관람가,8.9,2.5,23.03.15
10,존 윅 4,청소년관람불가,9.7,2.0,23.04.12
11,패왕별희,15세이상관람가,9.2,1.6,23.04.01
12,치킨래빗: 잃어버린 보물을 찾아서,전체관람가,9.0,1.4,23.03.18
13,파벨만스,12세이상관람가,7.8,1.1,23.03.22
14,카운트,12세이상관람가,8.6,1.0,23.02.22
15,오토라는 남자,12세이상관람가,8.6,0.8,23.03.29
16,에브리씽 에브리웨어 올 앳 원스＋,15세이상관람가,6.6,0.6,23.03.01
17,흐르다,12세이상관람가,6.0,0.6,23.03.29
18,여덟 번째 감각,15세이상관람가,9.1,0.6,23.03.29
19,찬란한 나의 복수,15세이상관람가,10.0,0.6,23.03.29
20,엘 카미노,전체관람가,0.0,0.5,23.03.29
